Nr.;Anrede;Vorname;Nachname;Geburtsdatum;Straße;Postleitzahl;Stadt;EMail
77;Herr;Donat;Leu;11.12.1978;Im Hirschfeld;78652;Deißlingen;dleu@inter-mail.none
78;Frau;Walburga;Fernandes;;Hammerstraße;23860;Groß Schenkenberg;wfernandes@anymail.none
79;Frau;Dietlinde;Gonsior;04.11.1957;Am Dornsbach;34454;Bad Arolsen;d-57@trashmail.none
80;Frau;Anica;Behr;16.03.1970;Alte Heide;57627;Heuzert;anica-behr@retromail.none
81;Frau;Karla;Mackowiak;;Willbecker Straße;27389;Lauenbrück;karla_mackowiak@private.none
82;Herr;Sigmar;Estrada;;Grimmestraße;21423;Winsen;sestrada@bestmail.none
83;Herr;Philipp;Herder;01.10.1952;Aloys-Barth-Straße;54518;Binsfeld;philipp_herder@open-mail.none
84;Herr;Eustachius;Leiß;;Maischeider Straße;45478;Mülheim an der Ruhr;eustachius.23@hoster.none
85;Frau;Griseldis;Hertweck;;Werkerhofplatz;47226;Duisburg;griseldis-hertweck@company.none
86;Frau;Catharina;Linge;;Stargarder Straße;37127;Scheden;
87;k.A.;Chris;Hirt;14.10.1940;Ahrweg;27259;Varrel;c-hirt@private.none
88;Frau;Willma;Bergs;03.12.1966;Gerndorf;37434;Gieboldehausen;w_bergs@spam-mail.none
89;Herr;Frohmund;Lüpke;10.03.1923;Hindemithstraße;75438;Knittlingen;
90;Herr;Hellfried;Hentrich;16.01.2014;Zur Windmühle;40723;Hilden;h.hentrich@justmail.none
91;k.A.;Gerheide;Görres;;Dickendorfer Straße;27419;Sittensen;
92;Frau;Delia;Knörzer;;Haaner Straße;63743;Aschaffenburg;
93;k.A.;Dina;Burghard;17.08.1956;Zechenstraße;88422;Kanzach;dina.burghard@mymail.none
94;Frau;Clarissa;Bartnik;;Seelbacher Weg;73347;Mühlhausen;c_bartnik@xyz.none
95;Frau;Alena;Göbbels;;Kantstraße;47627;Kevelaer;alena.2006@funmail.none
96;Herr;Olf;Konietzko;;An der Kippe;53539;Bongard;olf.konietzko@domain.none
97;Frau;Waltrude;Kleinke;;Ammerlandstraße;87755;Kirchhaslach;waltrude.kleinke@spam-mail.none
98;Frau;Jessika;Gundel;01.12.1963;Auf dem Anger;24802;Groß Vollstedt;jessikagundel@web.none
99;Herr;Rembert;Büsing;;Reichweindamm;86684;Holzheim;rembert-buesing@goggle-mail.none
100;Herr;Heyo;Wegert;18.12.1975;Hachener Straße;56843;Irmenach;
